code,description,explaination,type
2146,Missing or Invalid clientDetails ,clientDetails must be populated in the correct format. ,Error
2148,Invalid combination of firmDesignatedID and orderID in sellDetails ,"When required, the combination of firmDesignatedID and orderID in sellDetails must be valid. See section Trade Side Details for more details. ",Error
2149,CATReporterIMID and senderIMID must be assigned to the same firm ,CATReporterIMID and senderIMID must be assigned to the same firm. ,Error
2150,CATReporterIMID and receiverIMID must be assigned to the same firm ,CATReporterIMID and receiverIMID must be assigned to the same firm. ,Error
2151,Firm provided record count in meta file does not equal row count in the data file ,The record count in the data file as calculated by CAT does not match the record count provided in the metadata file. ,Error
2153,Data File is not Readable ,Data file format is not readable as it contains an invalid compression format. ,Error
2154,Invalid quoteWantedInd ,"When required, quoteWantedInd must be populated in one of the allowable values. ",Error
2156,Invalid reservedForFutureUse ,reservedForFutureUse must not be populated. ,Error
2157,Invalid quantity in buyDetails ,"If populated, quantity in buyDetails must be in the correct format. ",Error
2158,Invalid originatingIMID in buyDetails ,"If populated, originatingIMID in buyDetails must be in the correct format. ",Error
2159,Invalid quantity in sellDetails ,"If populated, quantity in sellDetails must be in the correct format. ",Error
2160,Invalid originatingIMID in sellDetails ,"If populated, originatingIMID in sellDetails must be in the correct format. ",Error
2161,Invalid quantity in clientDetails ,"If populated, quantity in clientDetails must be in the correct format. ",Error
2162,Invalid originatingIMID in clientDetails ,"If populated, originatingIMID in clientDetails must be in the correct format. ",Error
2163,Invalid quantity in firmDetails ,"If populated, quantity in firmDetails must be in the correct format. ",Error
2164,Invalid originatingIMID in firmDetails ,"If populated, originatingIMID in firmDetails must be in the correct format ",Error
2165,Missing or Invalid orderID in aggregatedOrders ,"When required, orderID in aggregatedOrders must be populated in the correct format. ",Error
2166,Missing or Invalid orderKeyDate in aggregatedOrders ,"When required, orderKeyDate in aggregated orders must be populated in the correct format. ",Error
2167,Invalid quantity in aggregatedOrders ,"If populated, quantity in aggregatedOrders must be in the correct format. ",Error
2168,Invalid originatingIMID in aggregatedOrders ,"If populated, originatingIMID in aggregatedOrders must be in correct format. ",Error
2169,Invalid combination of reportingExceptionCode and tapeTradeID ,The combination of reportingExceptionCode and tapeTradeID must be valid. Refer to section 4.12. for more details. ,Error
2801,,Reserved ,
2802,,Reserved ,
2803,,Reserved ,
2999,Exceeds Max Error Limit ,The record contains more than 8 errors. ,Error
3002,Duplicate firmROEID on same day ,Duplicate firmROEID received by CAT; must be unique for the Event Date and CAT Reporter IMID. ,Error
3003,Duplicate firmROEID on a prior processing day ,One or more events were reported with the same firmROEID as an event reported on a previous day. All events received on the current CAT Processing Date associated with the duplicate firmROEID will be rejected. The events received on a previous day associated with the duplicate firmROEID will not be rejected. This is only applicable to events with an actionType of ‘NEW’. ,Error
3004,Duplicate Order Key reported on same day ,More than one primary order event was reported with the same Order Key on the current CAT Processing Date. All events associated with the duplicate Order Key will be rejected. ,Error
3007,Duplicate Order Key reported on a prior processing day ,One or more primary order events were reported that have the same Order Key as an order reported on a previous day. All events received on the current CAT Processing Date associated with the duplicate Order Key will be rejected. The events received on a previous day associated with the duplicate Order Key will not be rejected. ,Error
3008,Duplicate Route Linkage Key reported on the same day ,More than one Order Route event was reported with the same Route Linkage Key on the current CAT Processing Date. All events with a duplicate Route Linkage Key will be rejected. ,Error
3009,Duplicate Route Linkage Key reported on prior processing day ,One or more Order Route events were reported that have the same Route Linkage Key as an event reported on a previous day. All events received on the current CAT Processing Date with a duplicate Route Linkage Key will be rejected. The events received on a previous day with a duplicate Route Linkage will not be rejected. ,Error
3010,Duplicate Trade Key reported on same day ,More than one Trade event was reported with the same Trade Key on the current CAT Processing Date. All events associated with the duplicate Trade Key will be rejected. ,Error
3011,Duplicate Trade Key reported on prior processing day ,One or more Trade events were reported with the same Trade Key as an event reported on a previous day. All events received on the current CAT Processing Date with a duplicate Trade Key will be rejected. The events received on a previous day associated with the duplicate Trade Key will not be rejected. ,Error
3012,Duplicate Fulfillment Key reported on same day ,More than one Fulfillment events were reported with the same Fulfillment Key on the current CAT Processing Date. All events with a duplicate Fulfillment Key will be rejected. ,Error
3015,Duplicate Fulfillment Key reported on prior processing day ,One or more Fulfillment events was reported with the same Fulfillment Key as an event reported on a previous day. All events received on the current CAT Processing Date associated with the duplicate Fulfillment Key will be rejected. The events received on a previous day with a duplicate Fulfillment Key will not be rejected. ,Error
3016,Duplicate Quote Key reported on same day ,More than one New Quote event were reported with the same Quote Key on the current CAT Processing Date. All events associated with the duplicate Quote Key will be rejected. ,Error
3017,Duplicate Quote Key reported on prior processing day ,One or more New Quote events were reported that have the same Quote Key as an event reported on a previous day. All events received on the current CAT Processing Date associated with the duplicate Quote Key will be rejected. The events received on a previous day associated with the duplicate Quote Key will not be rejected. ,Error
3018,Duplicate Manual Order Key reported on same day ,More than one primary order event was reported with the same Manual Order Key on the current CAT Processing Date. All events associated with the duplicate Manual Order Key will be rejected. ,Error
3019,Duplicate Manual Order Key reported on prior processing day ,One or more primary order events were reported that have the same Manual Order Key as an order reported on a previous day. All events received on the current CAT Processing Date associated with the duplicate Manual Order Key will be rejected. The events received on a previous day associated with the duplicate Manual Order Key will not be rejected. ,Error
3501,"Secondary Event – Order Key, Trade Key, Quote Key or Fulfillment Key not found ","The Secondary Event (as defined in Appendix F) references an Order Key, Trade Key, Quote Key or Fulfillment Key that does not exist in CAT because it was not reported or was rejected. ",Error
3502,Trade Event –Order not found ,The Trade Event side details reference an Order Key that does not exist in CAT because it was not reported or was rejected. ,Error
3503,Fulfillment Event –Order not found ,The Fulfillment Event side details reference an Order Key that does not exist in CAT because it was not reported or was rejected. ,Error
3504,Aggregated Order – Client order not found ,Aggregated order references an Order Key that does not exist in CAT because it was not reported or was rejected. ,Error
3505,Electronic Duplicate Order – Manual order not found ,Electronic duplicate order references a Manual Order Key that does not exist in CAT because it was not reported or was rejected. ,Error
3601,Intrafirm Out of Sequence Event ,"eventTimestamp of a Secondary Event (as defined in Appendix F) is prior to the eventTimestamp of the related Primary Event (as defined in Appendix F). When comparing eventTimestamp, the Clock Drift allowance as specified in Appendix B must be considered. ",Error
3602,Mismatched eventTimestamp on the Order/Modification/Trade supplement event ,eventTimestamp on the Order/Modification/Trade supplement event did not match the eventTimestamp on the corresponding Order/Modification/Trade event. Timestamp compared up to milliseconds. ,Error
4003,Matching tapeTradeID cannot be found ,"The tapeTradeID reported on a Trade event did not match the unique identifier (e.g., Branch Sequence Number, Compliance ID) provided on the TRF/ADF/ORF Trade Report. ",Error
4005,eventTimestamp cannot be found ,The eventTimestamp reported on the Trade event did not match the Execution Time on the TRF/ADF/ORF trade report. ,Error
4007,symbol cannot be found ,The symbol reported on the Trade event did not match the symbol on the TRF/ADF/ORF trade report. ,Error
4009,Multiple fields did not match ,"A TRF/ADF/ORF Trade Report with a matching unique identifier (i.e. Branch Sequence Number) was found; however, the symbol, CATReporterIMID or a combination of fields reported on the Trade event did not match the corresponding symbol or reporting/contra firm on the TRF/ADF/ORF Trade Report. ",Error
5004,Named - Matching tapeTradeID cannot be found ,"Named on a TRF/ADF/ORF Trade Report, but the tapeTradeID on the Trade event did not match the unique identifier (e.g., Branch Sequence Number, Compliance ID) on the corresponding TRF/ADF/ORF Trade Report. ",Error
5006,Named - eventTimestamp cannot be found ,"Named on a TRF/ADF/ORF Trade Report, but the eventTimestamp reported on the Trade event did not match the Execution Time on the corresponding Trade event. ",Error
5008,Named - symbol cannot be found ,"Named on a TRF/ADF/ORF Trade Report, but the symbol reported on the Trade event did not match the symbol on the TRF/ADF/ORF trade report. ",Error
5010,Named - Multiple fields did not match ,"Named on a TRF/ADF/ORF Trade Report and a matching tapeTradeID on the CAT Trade Event was found; however, the symbol, CATReporterIMID or a combination of fields reported on the Trade event did not match the corresponding symbol or reporting/contra firm on the TRF/ADF/ORF Trade Report. ",Error
6003,Matching routedOrderID cannot be found ,The routedOrderID reported on the Order Route event does not match to a corresponding routedOrderID on the exchange order. ,Error
6005,senderIMID did not match ,"A matching routedOrderID was identified on the exchange order; however, the senderIMID on the Order Route event did not match the corresponding routingParty on the exchange order. ",Error
6007,symbol did not match ,"A matching routedOrderID was identified in the exchange order; however, the symbol on the Order Route event did not match the corresponding symbol on the exchange order. ",Error
6009,session did not match ,"A matching routedOrderID was identified on the exchange order; however, the session on the Order Route event did not match the session on the exchange order. ",Error
6011,Multiple fields did not match ,"A matching routedOrderID was identified on the exchange order; however, the symbol, senderIMID, or a combination of fields reported on the Order Route event did not match the corresponding symbol, routingParty or a combination of fields on the exchange order. ",Error
7004,Named - Matching routedOrderID cannot be found ,"Named on an exchange order, but the routedOrderID reported on the Order Route event does not match to a corresponding routedOrderID on the exchange order. ",Error
7006,Named - senderIMID did not match ,"Named on an exchange order with a matching routedOrderID identified on the Order Route event; however, the senderIMID on the Order Route event did not match the routingParty reported on the corresponding exchange order. ",Error
7008,Named - symbol did not match ,"Named on an exchange order with a matching routedOrderID identified on the Order Route event; however, the symbol on the Order Route event did not match the symbol on the corresponding exchange order. ",Error
7010,Named - session did not match ,"Named on an exchange order with a matching routedOrderID identified on the Order Route event; however, the session on the Order Route event did not match the session on the corresponding exchange order. ",Error
7012,Named - Multiple fields did not match ,"Named on an Order Route event with a matching routedOrderID identified in the Order Route event; however, the symbol, senderIMID or a combination of fields reported on the Order Route event did not match the symbol or routingParty on the corresponding exchange order. ",Error
8003,Matching routedOrderID cannot be found ,The routedOrderID reported on the Order Route event does not match to a corresponding routedOrderID on the Order Accepted event. ,Error
8004,Named - Matching routedOrderID cannot be found ,"Named on an Order Route event, but the routedOrderID reported on the Order Accepted event does not match to a corresponding routedOrderID on the Order Route event. ",Error
8005,senderIMID did not match ,"A matching routedOrderID was identified in the Order Accepted event; however, the senderIMID on the Order Route event did not match the senderIMID on the Order Accepted event. ",Error
8006,Named - senderIMID did not match ,"Named on an Order Route event, but the senderIMID on the Order Accepted event does not match the senderIMID reported on the corresponding Order Route event. ",Error
8007,destination did not match ,"A matching routedOrderID was identified in the Order Accepted event; however, the destination on the Order Route event did not match the receiverIMID on the Order Accepted event. ",Error
8008,Named – destination did not match ,"Named on an Order Route event, but the receiverIMID on the Order Accepted event does not match the destination reported on the corresponding Order Route event. ",Error
8009,symbol did not match ,"A matching routedOrderID was identified in the Order Accepted event; however, the symbol on the Order Route event did not match the symbol on the Order Accepted event. ",Error
8010,Named - symbol did not match ,"Named on an Order Route event with a matching routedOrderID identified in the Order Accepted Event; however, the symbol on the Order Accepted event did not match the symbol on the Order Route event. ",Error
8011,Multiple fields did not match ,"A matching routedOrderID was identified in the Order Accepted event; however, the symbol, senderIMID, destination, or a combination of fields on the Order Route event did not match the symbol, senderIMID, or receiverIMID on the Order Accepted Event. ",Error
8012,Named - Multiple fields did not match ,"Named on an Order Route event with a matching routedOrderID identified in the Order Accepted Event; however, the symbol, senderIMID, receiverIMID or a combination of fields on the Order Accepted event did not match the corresponding symbol, senderIMID, or destination on the Order Route event. ",Error
9003,Matching routedOrderID cannot be found ,The routedOrderID reported on the Order Accepted event does not match to a corresponding routedOrderID on the Order Route event. ,Error
9004,Named - Matching routedOrderID cannot be found ,"Named on an Order Accepted event, but the routedOrderID reported on the Order Route event does not match to a corresponding routedOrderID on the Order Accepted event. ",Error
9005,senderIMID did not match ,"A matching routedOrderID was identified in the Order Route event; however, the senderIMID on the Order Accepted event did not match the senderIMID on the Order Route event. ",Error
9006,Named - senderIMID did not match ,Named on an Order Accepted event but the senderIMID reported on the Order Route does not match to a corresponding senderIMID on the Order Accepted event. ,Error
9007,receiverIMID did not match ,"A matching routedOrderID was identified in the Order Route event; however, the receiverIMID on the Order Accepted event did not match the destination on the Order Route event. ",Error
9008,Named - receiverIMID did not match ,Named on an Order Accepted event but the destination reported on the Order Route does not match to a corresponding receiverIMID on the Order Accepted event. ,Error
9009,symbol did not match ,"A matching routedOrderID was identified in the Order Route event; however, the symbol on the Order Accepted event did not match the symbol on the Order Route event. ",Error
9010,Named - symbol did not match ,"Named on an Order Accepted event with a matching routedOrderID identified in the Order Route event; however, the symbol on the Order Route event did not match the symbol on the Order Accepted Event. ",Error
9011,Multiple fields did not match ,"A matching routedOrderID was identified in the Order Route event; however, the symbol, senderIMID, receiverIMID, receiverIMID, or a combination of fields on the Order Accepted event did not match the corresponding symbol, senderIMID, or destination on the Order Route event. ",Error
9012,Named - Multiple fields did not match ,"Named on an Order Accept Event with a matching routedOrderID identified in the Order Route event; however, the symbol, senderIMID, destination or a combination of fields on the Order Route event did not match the corresponding symbol, senderIMID, receiverIMID or a combination of fields on an Order Accepted event. ",Error
399,Duplicate Event ,The event has already been received by CAT. The first instance of the event will be retained; all subsequent submissions will be rejected. This rejection is not repairable. ,Warning
